      POLYNOMIAL                10001000000100001 
 AFTER_ELIMINATE 00000000000000001100001111111100 10110000
BEFORE_ELIMINATE 00000000000000011000011111111001 01100000
 AFTER_ELIMINATE 00000000000000001001011111011000 01100000
BEFORE_ELIMINATE 00000000000000010010111110110000 11000000
 AFTER_ELIMINATE 00000000000000000011111110010001 11000000
BEFORE_ELIMINATE 00000000000000000111111100100011 10000000
BEFORE_ELIMINATE 00000000000000001111111001000111 00000000
BEFORE_ELIMINATE 00000000000000011111110010001110 00000000
 AFTER_ELIMINATE 00000000000000001110110010101111 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001110110010101111 00110111
BEFORE_ELIMINATE 00000000000000011101100101011110 01101110
 AFTER_ELIMINATE 00000000000000001100100101111111 01101110
BEFORE_ELIMINATE 00000000000000011001001011111110 11011100
 AFTER_ELIMINATE 00000000000000001000001011011111 11011100
BEFORE_ELIMINATE 00000000000000010000010110111111 10111000
 AFTER_ELIMINATE 00000000000000000001010110011110 10111000
BEFORE_ELIMINATE 00000000000000000010101100111101 01110000
BEFORE_ELIMINATE 00000000000000000101011001111010 11100000
BEFORE_ELIMINATE 00000000000000001010110011110101 11000000
BEFORE_ELIMINATE 00000000000000010101100111101011 10000000
 AFTER_ELIMINATE 00000000000000000100100111001010 10000000
BEFORE_ELIMINATE 00000000000000001001001110010101 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001001001110010101 00111000
BEFORE_ELIMINATE 00000000000000010010011100101010 01110000
 AFTER_ELIMINATE 00000000000000000011011100001011 01110000
BEFORE_ELIMINATE 00000000000000000110111000010110 11100000
BEFORE_ELIMINATE 00000000000000001101110000101101 11000000
BEFORE_ELIMINATE 00000000000000011011100001011011 10000000
 AFTER_ELIMINATE 00000000000000001010100001111010 10000000
BEFORE_ELIMINATE 00000000000000010101000011110101 00000000
 AFTER_ELIMINATE 00000000000000000100000011010100 00000000
BEFORE_ELIMINATE 00000000000000001000000110101000 00000000
BEFORE_ELIMINATE 00000000000000010000001101010000 00000000
 AFTER_ELIMINATE 00000000000000000001001101110001 00000000
BEFORE_ELIMINATE 00000000000000000010011011100010 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000000010011011100010 00111001
BEFORE_ELIMINATE 00000000000000000100110111000100 01110010
BEFORE_ELIMINATE 00000000000000001001101110001000 11100100
BEFORE_ELIMINATE 00000000000000010011011100010001 11001000
 AFTER_ELIMINATE 00000000000000000010011100110000 11001000
BEFORE_ELIMINATE 00000000000000000100111001100001 10010000
BEFORE_ELIMINATE 00000000000000001001110011000011 00100000
BEFORE_ELIMINATE 00000000000000010011100110000110 01000000
 AFTER_ELIMINATE 00000000000000000010100110100111 01000000
BEFORE_ELIMINATE 00000000000000000101001101001110 10000000
BEFORE_ELIMINATE 00000000000000001010011010011101 00000000
crcCode = 0xa69d
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000001010011010011101 00000000
BEFORE_ELIMINATE 00000000000000010100110100111010 00000000
 AFTER_ELIMINATE 00000000000000000101110100011011 00000000
BEFORE_ELIMINATE 00000000000000001011101000110110 00000000
BEFORE_ELIMINATE 00000000000000010111010001101100 00000000
 AFTER_ELIMINATE 00000000000000000110010001001101 00000000
BEFORE_ELIMINATE 00000000000000001100100010011010 00000000
BEFORE_ELIMINATE 00000000000000011001000100110100 00000000
 AFTER_ELIMINATE 00000000000000001000000100010101 00000000
BEFORE_ELIMINATE 00000000000000010000001000101010 00000000
 AFTER_ELIMINATE 00000000000000000001001000001011 00000000
BEFORE_ELIMINATE 00000000000000000010010000010110 00000000
BEFORE_ELIMINATE 00000000000000000100100000101100 00000000
      POLYNOMIAL                10001000000100001 
     AFTER_INPUT 00000000000000000100100000101100 00000000
BEFORE_ELIMINATE 00000000000000001001000001011000 00000000
BEFORE_ELIMINATE 00000000000000010010000010110000 00000000
 AFTER_ELIMINATE 00000000000000000011000010010001 00000000
BEFORE_ELIMINATE 00000000000000000110000100100010 00000000
BEFORE_ELIMINATE 00000000000000001100001001000100 00000000
BEFORE_ELIMINATE 00000000000000011000010010001000 00000000
 AFTER_ELIMINATE 00000000000000001001010010101001 00000000
BEFORE_ELIMINATE 00000000000000010010100101010010 00000000
 AFTER_ELIMINATE 00000000000000000011100101110011 00000000
BEFORE_ELIMINATE 00000000000000000111001011100110 00000000
BEFORE_ELIMINATE 00000000000000001110010111001100 00000000
crcCode = 0xe5cc
Test ended with err = 0x0000(0) @ crcUT.c,CRC16TISample,161
Test ended with err = 0x0000(0) @ crcUT.c,main,192
